 sex row_number liters_drunk age drink check_number
5697 "Не указан" 79.0 5 27 "Strong beer" 117
5698 м 65.0 0 69 Fanta 4825
5699 "Не указан" 96.0 0 70 Fanta 4578
5700 м 31.0 4 73 Fanta 8121
5701 M 99.0 2 71 Bugbeer 7135
5702 ж 5.0 4 73 Fanta 1113
5703 Ж 20.0 82652915 19 Cola 3294
5704 "Не указан" 100.0 3 33 Bugbeer 286
5705 M 58.0 3 11 Fanta 80
5706 ж 85.0 1 57 "Strong beer" 4719
5707 м 43.0 5 61 Cola 8061
5708 M 86.0 4 55 Fanta 6245
5709 M 2.0 4 75 "Strong beer" 2622
5710 "Не указан" 99.0 5 70 "Strong beer" 7174
5711 - 96.0 1 44 Water 9522
5712 "Не указан" 32.0 1 68 Beerbeer 9014
5713 "Не указан" 57.0 1 52 Cola 3577
5714 ж 7.0 93207401 66 Fanta 8155
5715 Ж 95.0 0 27 Cola 6699
5716 ж 48.0 1 55 "Strong beer" 8427
5717 Ж 88.0 5 77 Cola 8113
5718 "Не указан" 72.0 2 68 Beerbeer 5262
5719 "Не указан" 3.0 45673701 23 Water 3584
5720 M 4.0 3 28 "Strong beer" 2937
5721 ж 18.0 4 36 Cola 2902
5722 "Не указан" 59.0 5 66 Fanta 4929
5723 "Не указан" 48.0 3 48 Cola 5179
5724 - 79.0 1 57 Cola 1780
5725 ж 31.0 3 52 Water 2171
5726 ж 40.0 5 73 "Strong beer" 5674
5727 Ж 94.0 5 79 "Strong beer" 4423
5728 Ж 97.0 0 10 Fanta 4006
5729 M 3.0 1 79 Fanta 29
5730 - 50.0 3 38 Cola 3565
5731 м 39.0 0 57 Fanta 4097
5732 ж 56.0 4 18 Fanta 6937
5733 ж  -6 54 Beerbeer 6763
5734 м 82.0 5 41 Bugbeer 1950
5735 "Не указан" 74.0 4 56 Water 7136
5736 "Не указан" 63.0 5 63 Water 1624
5737 - 77.0 4 41 Bugbeer 3252
5738 м 69.0 63667001 28 "Strong beer" 4254
5739 "Не указан" 32.0 4 27 "Strong beer" 2052
5740 "Не указан" 62.0 1 55 "Strong beer" 9797
5741 м 13.0 4 49 Beerbeer 1079
5742 - 50.0 1 59 "Strong beer" 9835
5743 Ж 77.0 -5 23 Fanta 7846
5744 - 94.0 2 46 Fanta 1986
5745 M 83.0 0 75 "Strong beer" 3301
5746 Ж 69.0 2 32 Water 1377
5747 м 28.0 3 41 Bugbeer 3730
5748 м 64.0 4 23 "Strong beer" 1557
5749 - 60.0 5 79 Water 6988
5750 - 37.0 2 58 Bugbeer 2376
5751 M 28.0 2 77 Cola 3396
5752 "Не указан"  4 58 "Strong beer" 6640
5753 м 25.0 0 52 Water 6180
5754 M 13.0 0 41 Beerbeer 2717
5755 ж 66.0 0 23 "Strong beer" 5210
5756 M 63.0 3 40 Water 7895
5757 - 91.0 4 11 Water 4834
5758 "Не указан" 15.0 0 31 Beerbeer 3298
5759 м 88.0 1 79 Water 7743
5760 Ж 61.0 5 56 "Strong beer" 9830
5761 м 81.0 1 11 Water 2041
5762 -  5 13 Fanta 4884
5763 м 13.0 4 10 Water 1301
5764 Ж 41.0 91452044 38 Cola 2647
5765 м 31.0 1 67 Water 8827
5766 м 72.0 0 80 Bugbeer 395
5767 - 27.0 4 79 "Strong beer" 741
5768 - 59.0 5 54 Water 9314
5769 M  3 39 Cola 2310
5770 M 24.0 4 17 Cola 6386
5771 ж 98.0 2 28 Fanta 4746
5772 "Не указан" 2.0 0 56 Beerbeer 1092
5773 м 37.0 5 43 Cola 6010
5774 "Не указан" 61.0 1 78 Beerbeer 2645
5775 Ж 17.0 1 74 Water 3280
5776 M 27.0 5 67 Beerbeer 4160
5777 ж 53.0 0 12 Cola 186
5778 Ж 45.0 0 64 Bugbeer 3190
5779 M 19.0 4 74 Water 682
5780 Ж 75.0 4 25 Beerbeer 969
5781 - 79.0 0 40 Cola 1921
5782 Ж 87.0 2 54 "Strong beer" 3891
5783 - 89.0 2 67 "Strong beer" 6229
5784 м 31.0 76405513 37 Bugbeer 5137
5785 - 31.0 1 79 "Strong beer" 1482
5786 Ж 30.0 2 25 Bugbeer 7253
5787 M 82.0 3 37 Fanta 1952
5788 M 91.0 4 56 Bugbeer 703
5789 ж 43.0 5 58 Bugbeer 2597
5790 ж 58.0 1 17 Water 3268
5791 "Не указан" 32.0 5 48 Cola 1913
5792 - 69.0 5 47 Cola 2712
5793 - 72.0 5 74 Beerbeer 9776
5794 ж 31.0 -2 55 Water 7116
5795 M 37.0 3 67 Water 2906
5796 - 27.0 5 29 Water 1007
5797 ж 64.0 1 59 Bugbeer 8055
5798 - 58.0 4 62 Cola 2661
5799 м 71.0 3 71 Cola 9149
5800 Ж 8.0 5 69 Beerbeer 6612
5801 ж 9.0 4 44 Beerbeer 581
5802 - 4.0 -1 30 Bugbeer 3530
5803 м 87.0 2 38 Beerbeer 7515
5804 м 49.0 2 57 Cola 7172
5805 - 34.0 -5 13 Water 9297
5806 M 65.0 2 11 Cola 7003
5807 ж  98032170 49 Beerbeer 8393
5808 "Не указан" 21.0 2 45 Beerbeer 7329
5809 м 71.0 -2 63 Bugbeer 4842
5810 м 36.0 2 33 Water 9426
5811 - 22.0 0 33 Cola 9451
5812 Ж 72.0 3 55 Beerbeer 6125
5813 Ж 39.0 5 50 Fanta 2396
5814 ж 44.0 4 61 Beerbeer 9402
5815 M 83.0 1 46 "Strong beer" 4210
5816 м 33.0 5 52 Fanta 5735
5817 ж 33.0 0 55 "Strong beer" 244
5818 "Не указан"  -1 13 Cola 3846
5819 ж 45.0 4 76 "Strong beer" 5619
5820 - 18.0 1 38 "Strong beer" 4567
5821 Ж  2 28 "Strong beer" 9036
5822 - 19.0 2 15 Fanta 6396
5823 - 34.0 4 41 Bugbeer 6930
5824 "Не указан" 78.0 -4 18 Fanta 2839
5825 "Не указан" 58.0 0 26 Fanta 2300
5826 - 92.0 3 60 Beerbeer 1554
5827 M 13.0 2 30 Bugbeer 3714
5828 м 42.0 1 40 Bugbeer 7163
5829 м 61.0 0 64 "Strong beer" 9009
5830 "Не указан" 2.0 5 76 Fanta 8341
5831 "Не указан" 36.0 5 54 Water 432
5832 - 33.0 5 75 Beerbeer 6144
5833 ж 65.0 0 13 Water 2943
5834 M 99.0 83053187 78 "Strong beer" 475
5835 - 95.0 0 13 Water 7126
5836 м 96.0 5 47 Cola 8565
5837 - 19.0 1 48 Cola 8346
5838 м 44.0 5 57 Fanta 7006
5839 Ж 15.0 5 27 Fanta 3506
5840 M 12.0 0 58 "Strong beer" 1064
5841 м 56.0 5 16 Cola 4797
5842 "Не указан" 49.0 1 60 Beerbeer 476
5843 Ж 48.0 4 32 Beerbeer 8650
5844 м  1 22 Fanta 6554
5845 ж 74.0 5 16 Water 4543
5846 ж 26.0 3 73 Bugbeer 2899
5847 M 48.0 36426629 79 Bugbeer 4096
5848 "Не указан" 88.0 5 67 Water 420
5849 ж 11.0 0 49 Water 7524
5850 M 32.0 1 10 Cola 2710
5851 м 95.0 5 22 "Strong beer" 4285
5852 M 73.0 0 12 Water 3168
5853 ж 65.0 3 14 Water 7413
5854 Ж 49.0 3 23 Beerbeer 1372
5855 - 21.0 19667213 39 Water 4780
5856 "Не указан" 86.0 1 70 Bugbeer 9008
5857 Ж 36.0 1 37 Beerbeer 8059
5858 "Не указан" 67.0 1 66 Cola 8908
5859 Ж 49.0 3 53 Beerbeer 2674
5860 - 73.0 3 75 Beerbeer 1185
5861 "Не указан" 99.0 0 48 Cola 6586
5862 M 95.0 5 22 Cola 3366
5863 ж 31.0 2 71 "Strong beer" 6339
5864 M 91.0 5 41 Cola 5369
5865 ж 83.0 0 55 Cola 1145
5866 M 52.0 2 57 Cola 3019
5867 "Не указан" 4.0 0 52 Bugbeer 6402
5868 - 63.0 5 55 Beerbeer 5999
5869 м 27.0 2 60 Bugbeer 2910
5870 - 5.0 5 24 Beerbeer 5483
5871 "Не указан" 66.0 5 28 "Strong beer" 3538
5872 M 73.0 3 79 Beerbeer 1457
5873 Ж 14.0 2 24 Bugbeer 7890
5874 M 2.0 0 80 Water 1062
5875 "Не указан" 82.0 0 38 "Strong beer" 5857
5876 м 50.0 0 63 "Strong beer" 5790
5877 м 69.0 2 68 Water 4150
5878 м 26.0 4 35 Cola 2436
5879 м 20.0 -2 65 Cola 8188
5880 - 81.0 3 63 Water 7257
5881 M 96.0 1 55 "Strong beer" 5400
5882 м 33.0 4 59 Bugbeer 3358
5883 M 30.0 3 76 Beerbeer 6986
5884 ж 63.0 3 36 Cola 299
5885 м 85.0 1 28 Water 8842
5886 ж 73.0 1 45 Cola 3120
5887 M  4 62 Cola 425
5888 м 20.0 1 71 Water 5147
5889 M 67.0 2 48 "Strong beer" 2954
5890 M 77.0 5 73 Fanta 309
5891 M 90.0 5 68 Fanta 2283
5892 - 81.0 3 37 Beerbeer 514
5893 ж  0 77 Water 2066
5894 м 49.0 0 53 Cola 5439
5895 м 69.0 3 31 Water 647
5896 м  0 69 "Strong beer" 5959
5897 м 21.0 5 29 Water 5360
5898 ж  2 60 Beerbeer 6515
5899 Ж 45.0 3 47 Water 273
5900 м 33.0 4 70 "Strong beer" 84
5901 - 39.0 2 71 Bugbeer 4385
5902 м 17.0 2 56 Water 8836
5903 Ж 95.0 5 71 Bugbeer 6482
5904 - 6.0 -2 73 Bugbeer 5038
5905 Ж 38.0 0 56 "Strong beer" 2130
5906 M 90.0 0 79 Bugbeer 879
5907 "Не указан" 67.0 5 59 Cola 7841
5908 "Не указан" 44.0 3 16 Cola 3594
5909 - 6.0 5 17 Fanta 5862
5910 "Не указан" 30.0 3 76 Bugbeer 9562
5911 M 52.0 4 20 Water 1410
5912 ж 41.0 5 19 Fanta 5587
5913 "Не указан" 50.0 4 25 Cola 3874
5914 м 19.0 0 63 Fanta 8602
5915 м 61.0 3 51 Beerbeer 8274
5916 M 38.0 2 80 Beerbeer 6736
5917 M 40.0 4 25 Fanta 1524
5918 Ж 15.0 1 72 Cola 1019
5919 Ж 58.0 2 35 Bugbeer 9012
5920 - 75.0 4 65 Beerbeer 6528
5921 Ж  0 74 Cola 3780
5922 ж 35.0 0 28 Bugbeer 7904
5923 ж 2.0 2 33 Fanta 8938
5924 M 69.0 0 50 Bugbeer 5027
5925 - 100.0 5 64 Fanta 9672
5926 - 34.0 3 78 Cola 2289
5927 Ж 74.0 0 15 Cola 5047
5928 "Не указан" 56.0 2 80 "Strong beer" 2157
5929 - 75.0 4 68 Water 6660
5930 м 50.0 3 12 Fanta 8545
5931 - 10.0 0 67 Fanta 8512
5932 Ж 11.0 0 51 Cola 7053
5933 м  0 69 "Strong beer" 9466
5934 "Не указан" 54.0 0 29 Bugbeer 2160
5935 ж 67.0 3 21 Fanta 3773
5936 м 69.0 1 68 Beerbeer 4498
5937 - 71.0 4 39 "Strong beer" 1959
5938 M 87.0 3 23 Fanta 6839
5939 "Не указан" 58.0 2 51 Fanta 4090
5940 м 97.0 4 27 Water 4372
5941 Ж 77.0 1 74 Water 4173
5942 "Не указан" 44.0 2 64 Beerbeer 2003
5943 M 68.0 1 38 "Strong beer" 2951
5944 Ж 36.0 0 57 Bugbeer 5746
5945 Ж 70.0 5 31 Beerbeer 8400
5946 - 2.0 4 28 Cola 1096
5947 м 26.0 5 43 Fanta 1587
5948 м 93.0 0 33 Water 2737
5949 Ж 22.0 2 51 Bugbeer 8817
5950 м 55.0 3 66 Fanta 3364
5951 M 12.0 2 45 Beerbeer 1102
5952 - 41.0 4 22 Fanta 9597
5953 - 51.0 5 43 Bugbeer 3536
5954 M 87.0 1 23 Cola 3194
5955 Ж 24.0 0 74 Cola 4969
5956 - 55.0 3 76 Beerbeer 5095
5957 "Не указан" 45.0 3 80 Cola 3740
5958 ж 65.0 1 79 Cola 8394
5959 "Не указан" 99.0 5 53 Fanta 1993
5960 - 88.0 2 59 Cola 7950
5961 м 16.0 81064290 59 Beerbeer 5018
5962 ж 15.0 2 23 Water 934
5963 ж 12.0 4 29 Beerbeer 7686
5964 M  1 35 Water 9017
5965 ж 86.0 5 70 Bugbeer 7691
5966 ж 78.0 1 20 Fanta 6632
5967 M 69.0 3 60 "Strong beer" 1632
5968 - 25.0 3 24 "Strong beer" 4024
5969 M 87.0 32624714 19 Water 9548
5970 м 62.0 2 69 Cola 7697
5971 Ж 54.0 2 19 Cola 9532
5972 M 55.0 67371647 16 Water 3373
5973 Ж 2.0 5 33 Bugbeer 7001
5974 ж 94.0 3 71 Bugbeer 5523
5975 ж  2 63 Beerbeer 9792
5976 "Не указан" 30.0 2 60 Beerbeer 187
5977 M 56.0 2 67 Fanta 8140
5978 м 30.0 4 22 Bugbeer 8470
5979 м 49.0 4 80 Fanta 8467
5980 ж 41.0 0 35 Beerbeer 5995
5981 м 76.0 0 29 Cola 7511
5982 "Не указан" 100.0 2 69 Cola 9458
5983 "Не указан" 84.0 5 55 "Strong beer" 4871
5984 M 59.0 1 62 Beerbeer 8792
5985 ж  1 58 Fanta 8126
5986 ж 88.0 5 29 Beerbeer 1565
5987 - 91.0 1 58 Cola 6624
5988 ж 61.0 1 31 Cola 8747
5989 M 32.0 3 46 Beerbeer 5681
5990 Ж 3.0 -6 48 Beerbeer 211
5991 - 33.0 4 53 "Strong beer" 8258
5992 M 61.0 3 57 "Strong beer" 9397
5993 ж 64.0 4 33 Beerbeer 6118
5994 Ж 15.0 -3 56 Bugbeer 3852
5995 "Не указан" 65.0 1 22 Fanta 2440
5996 "Не указан" 28.0 2 55 Water 8301
5997 ж 26.0 0 25 "Strong beer" 7559
5998 M  1 51 Fanta 2322
5999 м 54.0 3 43 "Strong beer" 3984
6000 м 47.0 3 31 "Strong beer" 3972
6001 м 19.0 43877526 24 Water 4279
6002 м 76.0 0 12 Cola 8135
6003 ж 20.0 5 35 Water 2598
6004 - 66.0 1 69 Bugbeer 8814
6005 "Не указан" 98.0 2 35 Beerbeer 6432
6006 - 73.0 0 20 Cola 9444
6007 м 36.0 4 50 Water 7775
6008 M 61.0 3 20 Water 2759
6009 Ж 55.0 13659916 37 "Strong beer" 516
6010 Ж 89.0 2 29 Beerbeer 6546
6011 "Не указан" 6.0 3 58 Bugbeer 5473
6012 "Не указан" 3.0 2 36 "Strong beer" 1734
6013 Ж 99.0 5 78 Bugbeer 6044
6014 M 74.0 3 27 Bugbeer 9097
6015 м 3.0 5 43 "Strong beer" 9371
6016 M 29.0 1 54 Bugbeer 6363
6017 -  1 59 Fanta 4693
6018 ж 79.0 3 51 "Strong beer" 8948
6019 Ж 39.0 4 47 "Strong beer" 9162
6020 - 45.0 -2 50 Beerbeer 4625
6021 Ж 58.0 71297803 35 Beerbeer 7812
6022 "Не указан" 94.0 5 15 Fanta 199
6023 ж 76.0 5 51 Beerbeer 9398
6024 Ж 97.0 3 32 Beerbeer 5096
6025 M 19.0 0 60 "Strong beer" 5487
6026 M  5 68 Fanta 7928
6027 -  5 58 Bugbeer 9357
6028 Ж 26.0 4 30 Cola 6141
6029 "Не указан" 36.0 5 25 Cola 6207
6030 M 41.0 1 14 Cola 7744
6031 м 31.0 2 17 Fanta 5693
6032 "Не указан" 38.0 4 42 Water 7110
6033 ж 89.0 2 59 Cola 1313
6034 - 6.0 0 66 Fanta 5430
6035 - 8.0 0 39 Fanta 8168
6036 "Не указан" 51.0 2 55 Beerbeer 595
6037 M 38.0 3 44 Cola 2667
6038 ж 44.0 4 53 "Strong beer" 9153
6039 - 6.0 1 53 Cola 1891
6040 M 49.0 1 27 "Strong beer" 537
6041 M 46.0 5 55 Beerbeer 4089
6042 Ж 6.0 5 29 Cola 8500
6043 "Не указан" 72.0 4 34 "Strong beer" 8487
6044 - 85.0 2 29 Bugbeer 9221
6045 - 77.0 4 66 Water 3553
6046 "Не указан" 20.0 5 35 Beerbeer 338
6047 м 59.0 3 42 Beerbeer 2901
6048 Ж 30.0 2 67 Bugbeer 788
6049 "Не указан" 10.0 4 75 Fanta 4898
6050 Ж 34.0 5 31 Beerbeer 6393
6051 "Не указан" 21.0 3 15 Water 638
6052 ж 58.0 -2 47 Fanta 5491
6053 ж 63.0 2 70 Bugbeer 2292
6054 Ж 86.0 0 46 Beerbeer 1901
6055 Ж 27.0 4 80 Fanta 4217
6056 "Не указан" 100.0 0 33 Cola 2141
6057 ж 68.0 0 24 Fanta 6788
6058 "Не указан" 36.0 1 25 Cola 1776
6059 м  -6 28 Bugbeer 714
6060 "Не указан" 92.0 3 49 Beerbeer 5376
6061 M 83.0 -6 38 Bugbeer 9121
6062 Ж 4.0 0 21 Bugbeer 6202
6063 Ж 93.0 0 33 Bugbeer 3239
6064 м 90.0 3 12 Cola 6501
6065 ж 68.0 2 55 "Strong beer" 3784
6066 M 80.0 -2 45 Bugbeer 8876
6067 "Не указан" 29.0 3 47 Bugbeer 4148
6068 "Не указан"  22922396 20 Fanta 412
6069 м 76.0 0 11 Water 4915
6070 м 17.0 2 60 "Strong beer" 2986
6071 Ж 71.0 5 33 "Strong beer" 6236
6072 M 89.0 0 48 Beerbeer 6871
6073 м 10.0 4 46 Cola 6170
6074 M 0.0 5 65 "Strong beer" 8116
6075 Ж 58.0 2 39 Fanta 5449
6076 "Не указан" 17.0 4 23 Beerbeer 5380
6077 -  0 43 Fanta 4250
6078 M 68.0 4 19 Water 7498
6079 Ж 9.0 0 15 Fanta 5750
6080 ж 55.0 2 32 Fanta 4281
6081 -  0 18 Fanta 4437
6082 м 43.0 62862709 67 Water 9392
6083 Ж 66.0 2 43 Beerbeer 7363
6084 ж 78.0 3 23 Bugbeer 8156
6085 "Не указан" 14.0 1 18 Water 6014
6086 ж 73.0 0 40 Cola 5407
6087 Ж 76.0 4 67 Beerbeer 5668
6088 ж 80.0 59545824 19 Water 5123
6089 "Не указан" 67.0 10187492 70 "Strong beer" 3789
6090 "Не указан" 99.0 2 58 Fanta 1118
6091 M 96.0 2 72 Cola 3383
6092 "Не указан" 82.0 2 68 Bugbeer 3812
6093 "Не указан" 21.0 1 36 Water 5031
6094 - 2.0 0 26 "Strong beer" 1640
6095 Ж 89.0 0 45 Water 3070
6096 Ж  5 59 Water 6787
6097 "Не указан" 34.0 5 42 Cola 3799
6098 м 7.0 3 73 Bugbeer 7874
6099 м 1.0 5 64 Bugbeer 1649
6100 м 75.0 1 41 Fanta 8098
6101 M 36.0 2 33 Bugbeer 9105
6102 "Не указан" 25.0 5 12 Cola 757
6103 ж 86.0 -4 63 Beerbeer 4650
6104 M 12.0 2 79 Beerbeer 1685
6105 Ж 95.0 2 20 Cola 9852
6106 Ж 8.0 -1 31 Beerbeer 4064
6107 "Не указан" 93.0 4 44 Bugbeer 8505
6108 - 61.0 2 57 Beerbeer 3788
6109 Ж 97.0 1 69 Beerbeer 2155
6110 - 42.0 1 20 Fanta 4377
6111 ж 34.0 2 11 Fanta 3255
6112 Ж 49.0 4 76 Cola 19
6113 - 78.0 5 72 Bugbeer 6298
6114 M 21.0 -4 43 Cola 920
6115 Ж 39.0 5 64 Bugbeer 8935
6116 ж 73.0 3 71 Bugbeer 3455
6117 M 71.0 5 49 Cola 6534
6118 ж 54.0 2 20 Water 7247
6119 м 57.0 5 42 Water 7962
6120 Ж 52.0 0 65 Beerbeer 3031
6121 - 53.0 5 80 Cola 26
6122 "Не указан" 100.0 0 39 Fanta 9901
6123 Ж 13.0 0 22 Beerbeer 9704
6124 м 4.0 4 76 "Strong beer" 8716
6125 м 93.0 -3 37 Bugbeer 6156
6126 M 40.0 4 19 Water 4703
6127 - 15.0 3 64 Water 1679
6128 м 15.0 3 73 Cola 1980
6129 "Не указан" 67.0 2 39 Beerbeer 3858
6130 M 20.0 5 62 "Strong beer" 6036
6131 - 66.0 4 21 "Strong beer" 3713
6132 ж 47.0 4 65 Fanta 3774
6133 - 99.0 5 64 "Strong beer" 9956
6134 M  1 10 Water 6456
6135 Ж 71.0 5 22 Cola 4887
6136 - 23.0 3 14 Fanta 6960
6137 "Не указан" 67.0 0 23 Fanta 1104
6138 "Не указан" 97.0 4 34 Bugbeer 9658
6139 ж 17.0 4 64 "Strong beer" 1181
6140 M 48.0 2 67 Cola 8350
6141 M 57.0 5 78 Bugbeer 4053
6142 ж 38.0 5 80 Water 5949
6143 Ж 9.0 3 36 Bugbeer 1791
6144 "Не указан" 35.0 5 68 Bugbeer 195
6145 M 57.0 4 43 Fanta 3231
6146 "Не указан" 94.0 1 66 Fanta 9812
6147 - 77.0 1 72 Beerbeer 3208
6148 Ж 43.0 3 69 "Strong beer" 5200
6149 - 27.0 3 39 Water 2544
6150 м 28.0 72900191 16 Water 973
6151 м 33.0 4 27 Bugbeer 8575
6152 - 63.0 5 10 Water 2555
6153 "Не указан" 89.0 4 24 Fanta 524
6154 "Не указан" 52.0 1 72 Fanta 8619
6155 M 80.0 3 49 Cola 9262
6156 M 79.0 4 42 Fanta 91
6157 ж 18.0 -1 40 Water 8982
6158 "Не указан" 72.0 0 21 Cola 4596
6159 M 18.0 2 70 Fanta 4523
6160 м 21.0 3 43 Cola 981
6161 ж 82.0 4 25 Water 5490
6162 ж 7.0 1 39 "Strong beer" 290
6163 - 32.0 1 77 Beerbeer 3873
6164 ж 56.0 0 61 "Strong beer" 4965
6165 "Не указан" 35.0 0 48 "Strong beer" 3539
6166 ж 12.0 5 27 Fanta 4860
6167 - 96.0 5 36 Water 2586
6168 M 24.0 5 62 "Strong beer" 1289
6169 м 30.0 3 18 Water 1240
6170 ж 77.0 5 24 Bugbeer 7119
6171 "Не указан" 36.0 1 77 Fanta 8976
6172 "Не указан" 38.0 -4 39 Bugbeer 1076
6173 - 6.0 5 72 Fanta 8534
6174 м 42.0 5 10 Water 2391
6175 Ж 46.0 2 25 Fanta 4504
6176 Ж 26.0 5 20 Cola 3478
6177 м 56.0 5 13 Cola 7985
6178 "Не указан" 99.0 -6 30 Beerbeer 1413
6179 "Не указан"  3 56 Bugbeer 9150
6180 "Не указан" 67.0 2 70 Beerbeer 7407
6181 ж 27.0 1 58 Beerbeer 1414
6182 м 61.0 4 21 Fanta 6280
6183 "Не указан" 74.0 3 16 Water 2496
6184 "Не указан" 96.0 2 56 Bugbeer 861
6185 M 74.0 0 28 Water 8287
6186 M 88.0 5 38 "Strong beer" 5646
6187 "Не указан" 95.0 0 32 Bugbeer 8108
6188 Ж 71.0 2 72 Beerbeer 7907
6189 Ж 75.0 0 45 Beerbeer 122
6190 Ж 97.0 -4 45 "Strong beer" 8416
6191 M 88.0 3 38 Water 9938
6192 M 63.0 1 46 Bugbeer 9312
6193 M 58.0 2 55 Bugbeer 7223
6194 м 87.0 86557410 65 Cola 3434
6195 - 13.0 0 74 Beerbeer 4770
6196 м 49.0 0 24 Bugbeer 6007
6197 "Не указан" 97.0 0 21 Fanta 5443
6198 "Не указан" 5.0 0 79 "Strong beer" 2023
6199 - 24.0 0 66 "Strong beer" 9643
6200 м 35.0 2 30 "Strong beer" 3328
6201 - 16.0 5 16 Fanta 2878
6202 Ж 4.0 5 27 Fanta 9404
6203 м 3.0 0 62 Water 1708
6204 "Не указан" 55.0 2 40 Water 5205
6205 Ж 100.0 4 29 Water 5261
6206 M 29.0 1 32 "Strong beer" 115
6207 Ж 21.0 0 54 Bugbeer 1327
6208 M 89.0 4 23 Water 5839
6209 - 3.0 2 26 Beerbeer 9596
6210 - 29.0 2 41 Beerbeer 9542
6211 Ж 61.0 3 51 Beerbeer 4701
6212 M  -6 73 Fanta 337
6213 "Не указан" 42.0 3 56 "Strong beer" 7405
6214 M 79.0 33550970 16 Water 9429
6215 ж 59.0 4 40 Water 7071
6216 "Не указан" 78.0 5 70 Cola 6848
6217 Ж 12.0 1 27 "Strong beer" 7341
6218 ж 65.0 4 45 "Strong beer" 4877
6219 "Не указан" 8.0 1 78 Cola 521
6220 Ж 97.0 3 51 Beerbeer 5459
6221 "Не указан" 73.0 0 26 "Strong beer" 4400
6222 "Не указан" 1.0 3 38 Beerbeer 8749
6223 ж 56.0 5 16 Cola 3786
6224 M 80.0 654819 15 Water 7340
6225 "Не указан" 18.0 0 40 Water 7728
6226 м 39.0 -4 65 Fanta 251
6227 Ж 47.0 2 21 Water 493
6228 "Не указан" 26.0 0 48 Fanta 1695
6229 M 59.0 3 61 Cola 697
6230 Ж 11.0 0 18 Cola 5762
6231 "Не указан" 21.0 2 55 Fanta 1302
6232 "Не указан" 23.0 5 43 Water 4046
6233 M 77.0 5 53 Bugbeer 9931
6234 м 81.0 1 43 "Strong beer" 9793
6235 - 31.0 3 21 Fanta 2732
6236 M 45.0 0 40 Bugbeer 9222
6237 м 34.0 -1 53 Bugbeer 4375
6238 "Не указан" 13.0 4 21 "Strong beer" 3595
6239 - 79.0 0 24 Water 9164
6240 "Не указан" 14.0 2 19 Cola 5658
6241 - 62.0 1 74 Beerbeer 3941
6242 ж 50.0 5 64 Beerbeer 2218
6243 Ж 99.0 0 57 Water 7585
6244 - 35.0 4 24 Beerbeer 4540
6245 M 74.0 3 19 Fanta 6297
6246 "Не указан" 48.0 -1 21 Water 7536
6247 м 24.0 3 60 Fanta 7481
6248 M 87.0 4 42 Bugbeer 796
6249 "Не указан" 62.0 4 78 Beerbeer 9356
6250 M 92.0 0 70 Bugbeer 2919
6251 Ж 25.0 1 35 Cola 8499
6252 "Не указан"  0 10 Water 6318
6253 - 39.0 42829148 67 Water 8542
6254 - 1.0 1 53 Cola 467
6255 - 9.0 1 12 Cola 7702
6256 ж 85.0 5 57 "Strong beer" 3384
6257 - 98.0 3 59 Cola 5275
6258 ж 99.0 3 71 Bugbeer 4490
6259 M 89.0 2 49 Bugbeer 9880
6260 м 10.0 3 11 Cola 8454
6261 м 16.0 4 13 Water 8896
6262 ж 33.0 0 36 Water 4500
6263 ж 90.0 45326725 53 Beerbeer 550
6264 Ж 74.0 5 18 Fanta 8219
6265 Ж  2 66 Cola 2827
6266 Ж 5.0 -3 75 Beerbeer 9064
6267 "Не указан" 8.0 1 65 Bugbeer 2602
6268 M 46.0 1 65 Bugbeer 4092
6269 ж 93.0 3 38 Beerbeer 2892
6270 м 15.0 5 50 Water 4908
6271 Ж 100.0 4 37 Cola 8104
6272 M 50.0 -3 29 "Strong beer" 9865
6273 ж  0 14 Water 2852
6274 м 55.0 0 77 Bugbeer 427
6275 Ж 87.0 2 18 Cola 8294
6276 - 100.0 5 41 Cola 111
6277 м 1.0 0 11 Cola 8030
6278 Ж  2 29 Cola 6410
6279 - 31.0 0 18 Fanta 4287
6280 - 3.0 0 79 "Strong beer" 5742
6281 M 91.0 4 68 Cola 842
6282 ж 59.0 2 18 Fanta 5998
6283 м 42.0 1 65 Cola 8582
6284 "Не указан" 1.0 -2 77 Cola 7039
6285 ж 96.0 2 61 Beerbeer 453
6286 M 6.0 3 51 "Strong beer" 5362
6287 "Не указан" 22.0 3 58 Bugbeer 3439
6288 Ж 25.0 4 61 Water 8967
6289 ж 70.0 3 11 Water 4642
6290 "Не указан" 24.0 1 58 "Strong beer" 9761
6291 м  1 53 Bugbeer 8131
6292 Ж 77.0 3 77 Cola 9896
6293 M 66.0 0 60 Beerbeer 2038
6294 M 100.0 2 20 Cola 354
6295 Ж 1.0 5 18 Fanta 7765
6296 м 10.0 2 24 Cola 2293
6297 м 48.0 3 75 Fanta 1380
6298 Ж 8.0 4 25 Water 5799
6299 ж 78.0 2 75 "Strong beer" 2984
6300 Ж  2 13 Water 7759
6301 "Не указан" 2.0 4 11 Cola 4739
6302 Ж 32.0 1 25 Cola 8968
6303 м 96.0 11469692 47 Beerbeer 9858
6304 м 22.0 1 44 Fanta 4656
6305 м 91.0 0 49 Beerbeer 6269
6306 Ж 17.0 0 47 Beerbeer 8663
6307 "Не указан" 26.0 77168868 73 Cola 5390
6308 - 11.0 3 66 Bugbeer 8772
6309 M 36.0 0 67 Fanta 9707
6310 "Не указан" 14.0 1 16 Cola 742
